test_id,node,test_category,test_description,test,result,failure_reason
1,borderleaf1,NTP,Synchronised with NTP server,NTP,PASS,
2,borderleaf2,NTP,Synchronised with NTP server,NTP,PASS,
3,leaf1,NTP,Synchronised with NTP server,NTP,PASS,
4,leaf2,NTP,Synchronised with NTP server,NTP,PASS,
5,leaf3,NTP,Synchronised with NTP server,NTP,PASS,
6,leaf4,NTP,Synchronised with NTP server,NTP,PASS,
7,spine1,NTP,Synchronised with NTP server,NTP,PASS,
8,spine2,NTP,Synchronised with NTP server,NTP,PASS,
9,spine3,NTP,Synchronised with NTP server,NTP,PASS,
10,borderleaf1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - MLAG_PEER_borderleaf2_Ethernet1,PASS,
11,borderleaf1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - MLAG_PEER_borderleaf2_Ethernet2,PASS,
12,borderleaf1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_SPINE1_Ethernet6,PASS,
13,borderleaf1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_SPINE2_Ethernet6,PASS,
14,borderleaf1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_SPINE3_Ethernet6,PASS,
15,borderleaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - MLAG_PEER_borderleaf1_Ethernet1,PASS,
16,borderleaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - MLAG_PEER_borderleaf1_Ethernet2,PASS,
17,borderleaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_SPINE1_Ethernet7,PASS,
18,borderleaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_SPINE2_Ethernet7,PASS,
19,borderleaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_SPINE3_Ethernet7,PASS,
20,leaf1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - MLAG_PEER_leaf2_Ethernet1,PASS,
21,leaf1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - MLAG_PEER_leaf2_Ethernet2,PASS,
22,leaf1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_SPINE1_Ethernet2,PASS,
23,leaf1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_SPINE2_Ethernet2,PASS,
24,leaf1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_SPINE3_Ethernet2,PASS,
25,leaf1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - host1_Ethernet1,PASS,
26,leaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - MLAG_PEER_leaf1_Ethernet1,PASS,
27,leaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - MLAG_PEER_leaf1_Ethernet2,PASS,
28,leaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_SPINE1_Ethernet3,PASS,
29,leaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_SPINE2_Ethernet3,PASS,
30,leaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_SPINE3_Ethernet3,PASS,
31,leaf2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - host1_Ethernet2,PASS,
32,leaf3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - MLAG_PEER_leaf4_Ethernet1,PASS,
33,leaf3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - MLAG_PEER_leaf4_Ethernet2,PASS,
34,leaf3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_SPINE1_Ethernet4,PASS,
35,leaf3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_SPINE2_Ethernet4,PASS,
36,leaf3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_SPINE3_Ethernet4,PASS,
37,leaf3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - host2_Ethernet1,PASS,
